Object,Category
maltose,Sugar
sucrose,Sugar
glucose,Sugar
raffinose,Sugar
lactose,Sugar
cellobiose,Sugar
trehalose,Sugar
D-ribose,Sugar
fructose,Sugar
melibiose,Sugar
mannose,Sugar
xylose,Sugar
glycogen,Sugar
starch,Sugar
cellulose,Sugar
turanose,Sugar
L-fucose,Sugar
D-arabinose,Sugar
rhamnose,Sugar
D-galactose,Sugar
citrate,Acid
malate,Acid
gluconate,Acid
adipate,Acid
hippurate,Acid
acetate,Acid
lactate,Acid
propionate,Acid
succinate,Acid
malonate,Acid
formate,Acid
decanoate,Acid

